,realTradeSize
0,47542.836031488
1,68264.15906314368
2,149168.75494394562
3,40619.46697224
4,102576.97296166536
5,88338.60925787232
6,164352.321441
7,74411.892069333
8,241770.8506011646
9,35702.428902
10,141841.688151828
11,170353.46535049498
12,13015.600042499998
13,17818.3564581825
14,3818.1148023050223
15,4535.920385138366
16,8181.332213999999
17,8459.497509276
18,3572.6645383525606
19,4130.0002063355605
20,43704.32232672
21,45889.538443056
22,83933.96342100001
23,87878.85970178699
24,73707.05856423525
25,75181.19973551996
26,71066.42068412503
27,72345.61625643927
28,30822.94909590997
29,31747.637568787275
30,30365.73039363072
31,52007.97511124716
32,76877.50830363072
33,48340.085
34,49306.886699999995
35,17408.5593136
36,19132.0066856464
37,38244.21552
38,39238.56512352
39,83434.73450598
40,99621.07300014011
41,54566.30968576507
42,58767.91553156898
43,71444.3318918518
44,139132.19362864297
45,204840.92186047256
46,69885.18893012722
47,69885.18893012722
48,229650.713973
49,236310.584678217
50,216430.50917399998
51,227252.03463269997
52,170974.34606667
53,186020.08852053699
54,164899.6511991358
55,164899.6511991358
56,159346.4363946
57,204600.8243306664
58,139810.350105
59,142187.12605678503
60,168385.1973804
61,198694.532908872
62,137175.7616768
63,153499.6773163392
64,150896.53981248
65,245961.3598943424
66,184303.2176832
67,332114.3982651264
68,197058.99505599999
69,352401.964926964
70,336294.22816448344
71,1060014.102636902
72,326101.9431727426
73,339472.1228428251
74,296917.07690555276
75,296917.07690555276
76,288242.81032584934
77,328020.3181508166
78,342721.6767077247
79,342721.6767077247
80,332156.31821974966
81,168373.60007884103
82,519492.4816956884
83,204068.80329555535
84,227461.18846832713
85,364165.36273779173
86,351531.3957974181
87,328681.85507058585
88,84408.90690466732
89,105257.90691012016
90,70685.38265553564
91,76552.26941594509
92,62982.71428359555
93,80302.96071158434
94,183066.2414511296
95,183066.2414511296
96,206497.04693508398
97,206497.04693508398
98,318769.6732618196
99,6969530.127627366
100,6969530.127627366
101,11406176.93891852
102,12273046.386276329
103,7224436.334379427
104,7224436.334379427
105,11804580.30082484
106,12359395.574963609
107,757077.9739968217
108,351208.0958931027
109,357529.84161917865
110,511529.1716384465
111,511529.1716384465
112,482252.05479452055
113,509740.4219178082
114,3334640.578289511
115,260576.54323504068
116,279077.47780472855
117,5845624.933741513
118,2574735.0757350754
119,2930048.516186516
120,33137831.08312644
121,33137831.08312644
122,30210289.956331875
123,32506271.9930131
124,1945729.4334114853
125,1945729.4334114853
126,25478947.061419886
127,26905768.096859403
128,17317451.93241406
129,19967022.078073412
130,4959362.888198757
131,7240669.816770186
132,4600602.173913044
133,1820489.1304347825
134,4600602.173913044
135,209920.87230830037
136,2585094.5652173916
137,4497801.809606986
138,229653.43430528062
139,4731687.50370655
140,300746.92959286185
141,300746.92959286185
142,263426.94266889564
143,267905.2006942669
144,235400.30841038717
145,255173.9343168597
146,171250.35515421428
147,171250.35515421428
148,152648.23023315961
149,16944622.028141677
150,16944622.028141677
151,168523.6461774082
152,154681.46143209876
153,154681.46143209876
154,236549.96729556652
155,141265.62925027093
156,392451.4262711527
157,326295.93338334974
158,410153.98826287064
159,374153.5355277422
160,374153.5355277422
161,363265.66764388484
162,423204.50280512584
163,325300.6352905731
164,325300.6352905731
165,423015.40111242956
166,425976.5089202165
167,413459.2751488183
168,416353.49007486005
169,382327.28681329684
170,389591.50526274944
171,458305.71980367566
172,467013.52847994555
173,462020.6071393256
174,799546.9061876247
175,462020.6071393256
176,603255.8370165839
177,834726.9700598803
178,649103.2806298442
179,634040.8964064146
180,646087.6734381365
181,827212.7815881218
182,832176.0582776505
183,961488.505087664
184,199121.75648702594
185,1041292.05100994
186,996371.6567813365
187,1059143.071158561
188,1144935.6868327402
189,232773.33333333334
190,1634020.5195656817
191,517143.3376455369
192,1369343.0814519573
193,737493.4845545918
194,2263024.377786202
195,3687626.814580031
196,737493.4845545918
197,697970.9152832918
198,697970.9152832918
199,620186.5359795871
200,638792.1320589747
201,3897821.5430110935
202,1072112.1858094267
203,1072112.1858094267
204,1036385.598438781
205,1611579.6055723047
206,1153858.9202584787
207,1153858.9202584787
208,4782307.561766133
209,4920994.4810573505
210,1133144.283117052
211,1133144.283117052
212,1061758.464710044
213,543203.5462606266
214,551351.599454536
215,284002.02790770447
216,2359779.4766829074
217,289966.0704937663
218,2683069.2649884652
219,64902.29515251318
220,66914.26630224109
221,2154927.7477118983
222,4391533.894663895
223,2219575.580143255
224,6776136.799466389
225,2472835.4643096924
226,641204.3336625486
227,641204.3336625486
228,722839.2459494516
229,788617.6173308516
230,833237.3528497735
231,833237.3528497735
232,792062.3019071654
233,313742.3233255323
234,1105804.6252326977
235,921514.4988237458
236,921514.4988237458
237,659624.0236746031
238,659624.0236746031
239,647336.1704284286
240,704301.7534261302
241,656760.8694801086
242,797964.4564183318
243,931030.8832471498
244,931030.8832471498
245,844661.234459987
246,873379.7164316266
247,970515.338196591
248,1055920.687957891
249,1108888.4008237815
250,1170986.1512699132
251,1090954.4583691834
252,1182594.6328721948
253,1118901.5487017054
254,1307788.2246212617
255,1150230.7920653534
256,1641274.2218996831
257,1341422.2171758881
258,1341422.2171758881
259,1296418.6717228168
260,1296418.6717228168
261,1171715.5569143428
262,1479876.748382815
263,1192634.7265649796
264,1304742.390862088
265,1570648.0067711598
266,2359113.306170282
267,1496697.5348008992
268,1496697.5348008992
269,1557771.0861265445
270,1613850.8452271004
271,1466631.0634509893
272,1466631.0634509893
273,1550196.1360255196
274,1607553.3930584637
275,1537625.7867226112
276,1649872.4691533616
277,1493574.3278176363
278,2041716.1061267087
279,1607603.0046869582
280,1660653.903841628
281,1577503.9973068738
282,2430933.659849893
283,1685649.1805371977
284,1742961.2526754623
285,1652874.738464373
286,1945433.567172567
287,2261070.4231445245
288,2423867.49361093
289,2272589.5100101195
290,2272589.5100101195
291,2356376.9169228994
292,2356376.9169228994
293,2128766.269306745
294,2265007.3105423767
295,2212499.065284543
296,2783323.8241279554
297,2585205.259137052
298,2585205.259137052
299,2494486.401617445
300,2579298.9392724386
301,2641053.540623675
302,1044270.5644120135
303,3854406.3211496063
304,2575892.4613507353
305,2575892.4613507353
306,3415746.4848093265
307,5127035.473698799
308,4303184.928167572
309,4475312.325294275
310,4196264.479896482
311,4196264.479896482
312,3993862.0685955943
313,4157610.413408014
314,4291636.036522155
315,4291636.036522155
316,4238702.02524186
317,4412488.808276776
318,4275029.065027545
319,4629856.477424832
320,4382697.574802189
321,8449840.924218621
322,4164549.661418696
323,4164549.661418696
324,4261157.992070321
325,4440126.627737274
326,4227970.3395835515
327,4227970.3395835515
328,4227970.3395835515
329,4085751.1742067123
330,4085751.1742067123
331,4100946.1369895525
332,4281387.767017093
333,4127210.314370788
334,4127210.314370788
335,4137899.104530139
336,4324104.564233995
337,4149261.9813563162
338,4149261.9813563162
339,4217122.002524484
340,4217122.002524484
341,4054361.906615765
342,4054361.906615765
343,4081272.3731529457
